Place_Name,Condition,Continent,Country,Latitude,Longitude
Gelora Sriwijaya Stadium,New ,Asia,Indonesia,-3.021425,104.788719
Kapten I Wayan Dipta Stadium,Old,Asia,Indonesia,-8.546904,115.306313
Manahan Stadium,Old,Asia,Indonesia,-7.555587,110.805946
Si Jalak Harupat Stadium,Old,Asia,Indonesia,-6.996421,107.529266
Gelora Bung Tomo Stadium,New ,Asia,Indonesia,-7.223228,112.622238
Het Muizenhuis,Old,Europe,Netherlands,52.377766,4.883774
"Alamodome, TX",Old,North America,USA,29.416918,-98.479271
Fairmont Century Plaza,New ,North America,USA,34.057507,-118.416054
The Beverly Hilton,Old,North America,USA,34.066376,-118.41272
Kyocera Dome ,Old,Asia,Japan,34.669228,135.475601
Oświęcim,Old,Europe,Poland,50.039726,19.238195
Memorial and Museum Auschwitz-Birkenau,Old,Europe,Poland,50.027416,19.201899
Michelob Ultra Arena,Old,North America,USA,36.090622,-115.179115
Poliedro de Caracas,New ,North America,USA,10.433874,-66.939034
Biosphère de Montréal,New ,South America,Venenzuela,45.514164,-73.531746
İstiklal Avenue,Old,Europe,Turkey,41.033806,28.977905
Al Bayt Stadium,Old,Asia,Qatar,25.652275,51.487083
Lusail Stadium,Old,Asia,Qatar,25.420738,51.490154
Battersea Dogs & Cats Home,New ,Europe,England,51.478439,-0.144966
10 Downing Street,Old,Europe,England,51.503368,-0.127721
Basilica Cistern,Old,Europe,Turkey,41.008362,28.977762
"Kardamyli, Greece",New ,Europe,Greece,36.887779,22.231634
Festival Park Kadıköy,Old,Europe,Turkey,40.991188,29.016914
"El Capitan Theatre, CA",Old,North America,USA,34.10136,-118.339996
Paramount Pictures,Old,North America,USA,34.083794,-118.321014
Hollywood Wax Museum,Old,North America,USA,34.101715,-118.338226
Barnsdall Art Park,New ,North America,USA,34.100376,-118.29464
The Hollywood Roosevelt Hotel,Old,North America,USA,34.101143,-118.341873
TCL Chinese Theatre,Old,North America,USA,34.102047,-118.34108
Madame Tussauds ,Old,North America,USA,34.101803,-118.341507
"The O2, London",New ,North America,USA,51.502949,0.002369
Westminster Abbey,Old,Europe,England,51.49939,-0.127465
Großer Tiergarten,Old,Europe,Germany,52.513988,13.358462
Istanbul Airport,New ,Europe,Turkey,41.276901,28.729324
Peabody,Old,North America,USA,42.536457,-70.985786
"Norwood,",Old,North America,USA,42.184155,-71.206245
Northampton,New ,North America,USA,42.328674,-72.664658
Freddie Mercury Blue Plaque,Old,Europe,England,51.454014,-0.410282
Luna Park in Coney Island,Old,North America,USA,40.575245,-73.978577
Atlantic Terminal Mall,New ,North America,USA,40.68457,-73.97715
Newport Centre,Old,North America,USA,40.727123,-74.0383
Cross County Center,Old,North America,USA,40.92733,-73.855873
Palisades Center,New ,North America,USA,41.097057,-73.955849
Brookfield Place,Old,North America,USA,40.712719,-74.015411
Loftus Versfeld Stadium,New ,Africa,South Africa,-25.753229,28.222435
Mbombela Stadium,Old,Africa,South Africa,-25.461651,30.929186
Kings Park Stadium,New ,Africa,South Africa,-29.8248,31.029097
Nelson Mandela Bay Stadium,New ,Africa,South Africa,-33.937717,25.598555
Ellis Park Stadium,New ,Africa,South Africa,-26.197493,28.060219
Cape Town Stadium,Old,Africa,South Africa,-33.903469,18.411102
